2mm	44621	133080	139748
3mm	44700	133563	140392
adi	44556	134918	143237
atax	44516	132724	139188
bicg	44664	133038	139532
cholesky	44444	132515	139006
correlation	44607	134646	140897
covariance	44537	133015	139549
doitgen	44679	132861	139769
durbin	44593	133646	140114
dynprog	44449	132836	139605
fdtd-2d	44708	133403	140592
fdtd-apml	47069	142059	157878
floyd-warshall	44462	132422	138857
gemm	44531	132650	139165
gemver	44839	133856	140651
gesummv	44572	132809	139375
gramschmidt	45946	135494	142442
jacobi-1d-imper	44448	132485	138898
jacobi-2d-imper	44472	132595	139168
ludcmp	44507	133466	139701
lu	44468	132491	138962
mvt	44582	132820	139352
reg_detect	44229	132748	140576
seidel-2d	44117	131793	138983
symm	44181	132102	139320
syr2k	44181	132107	139241
syrk	44151	131965	139044
trisolv	44124	131923	138976
trmm	44144	131885	138950
